Date,Price,Open,High,Low,Change %,Daily Return (%),Volatility (7D),SMA (7D),SMA (30D),Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
01-01-2013,7.994,7.994,7.994,7.994,-0.0068,-0.683314697,0.045422881,8.083714286,8.1274,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
02-01-2013,7.993,7.993,7.993,7.993,-0.0001,-0.012509382,0.054444817,8.066714286,8.1274,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
03-01-2013,7.967,7.967,7.967,7.967,-0.0033,-0.325284624,0.061650706,8.046142857,8.1274,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
04-01-2013,7.93,7.93,7.93,7.93,-0.0046,-0.464415715,0.068661003,8.021,8.119166667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
05-01-2013,7.933,7.933,7.933,7.933,0.0004,0.037831021,0.063651207,7.996142857,8.111133333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
07-01-2013,7.9,7.9,7.9,7.9,-0.0042,-0.415983865,0.050235635,7.966571429,8.1021,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
08-01-2013,7.906,7.906,7.906,7.906,0.0008,0.075949367,0.038933399,7.946142857,8.093266667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
09-01-2013,7.897,7.897,7.897,7.897,-0.0011,-0.113837592,0.036229428,7.932285714,8.084166667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
10-01-2013,7.877,7.877,7.877,7.877,-0.0025,-0.253260732,0.029786542,7.915714286,8.074766667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
11-01-2013,7.866,7.866,7.866,7.866,-0.0014,-0.139647074,0.02485769,7.901285714,8.064566667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
13-01-2013,7.869,7.869,7.869,7.869,0.0004,0.038138825,0.023782747,7.892571429,8.054266667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
14-01-2013,7.8,7.8,7.8,7.8,-0.0088,-0.876858559,0.036059475,7.873571429,8.0417,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
15-01-2013,7.832,7.832,7.832,7.832,0.0041,0.41025641,0.036902703,7.863857143,8.030833333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
16-01-2013,7.881,7.881,7.881,7.881,0.0063,0.625638407,0.033164812,7.860285714,8.022133333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
17-01-2013,7.837,7.837,7.837,7.837,-0.0056,-0.558304784,0.029663189,7.851714286,8.011966667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
18-01-2013,7.861,7.861,7.861,7.861,0.0031,0.306239633,0.027957451,7.849428571,8.002666667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
21-01-2013,7.861,7.861,7.861,7.861,0.0000,0,0.027524015,7.848714286,7.9931,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
22-01-2013,7.849,7.849,7.849,7.849,-0.0015,-0.152652334,0.026066764,7.845857143,7.982933333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
23-01-2013,7.864,7.864,7.864,7.864,0.0019,0.191107147,0.016921387,7.855,7.973266667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
24-01-2013,7.885,7.885,7.885,7.885,0.0027,0.267039674,0.016771575,7.862571429,7.964666667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
25-01-2013,7.885,7.885,7.885,7.885,0.0000,0,0.017553998,7.863142857,7.956066667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
28-01-2013,7.863,7.863,7.863,7.863,-0.0028,-0.27901078,0.013347017,7.866857143,7.946733333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
