Date,Close,Open,High,Low,Change %,Daily Return (%),Volatility (7D),SMA (7D),SMA (30D),Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
01-01-2013,7.889,7.889,7.889,7.889,-0.0045,-0.004542587,0.017724076,7.921142857,7.9492,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
02-01-2013,7.899,7.899,7.899,7.899,0.0013,0.001267588,0.018608754,7.920428571,7.9455,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
03-01-2013,7.853,7.853,7.853,7.853,-0.0058,-0.005823522,0.030993087,7.909714286,7.940933333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
04-01-2013,7.832,7.832,7.832,7.832,-0.0027,-0.002674137,0.040263418,7.895142857,7.935666667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
05-01-2013,7.832,7.832,7.832,7.832,0,0,0.042264473,7.880571429,7.9296,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
07-01-2013,7.786,7.786,7.786,7.786,-0.0059,-0.00587334,0.047745356,7.859428571,7.922566667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
08-01-2013,7.8,7.8,7.8,7.8,0.0018,0.001798099,0.042185531,7.841571429,7.915833333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
09-01-2013,7.801,7.801,7.801,7.801,0.0001,0.000128205,0.038660919,7.829,7.9094,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
10-01-2013,7.76,7.76,7.76,7.76,-0.0053,-0.005255736,0.031803713,7.809142857,7.9015,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
11-01-2013,7.733,7.733,7.733,7.733,-0.0035,-0.003479381,0.036253735,7.792,7.892666667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
